movie_title,duration,gross,genres,plot_keywords,budget,title_year,imdb_score,aspect_ratio
Avengers: Age of Ultron,141,458991599,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,250000000,2015,7.5,2.35
Harry Potter and the Half-Blood Prince,153,301956980,Adventure|Family|Fantasy|Mystery,blood|book|love|potion|professor,250000000,2009,7.5,2.35
Batman v Superman: Dawn of Justice,183,330249062,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,250000000,2016,6.9,2.35
Superman Returns,169,200069408,Action|Adventure|Sci-Fi,crystal|epic|lex luthor|lois lane|return to earth,209000000,2006,6.1,2.35
Quantum of Solace,106,168368427,Action|Adventure,action hero|attempted rape|bond girl|official james bond series|revenge,200000000,2008,6.7,2.35
Pirates of the Caribbean: Dead Man's Chest,151,423032628,Action|Adventure|Fantasy,box office hit|giant squid|heart|liar's dice|monster,225000000,2006,7.3,2.35
The Lone Ranger,150,89289910,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,215000000,2013,6.5,2.35
Man of Steel,143,291021565,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,225000000,2013,7.2,2.35
The Chronicles of Narnia: Prince Caspian,150,141614023,Action|Adventure|Family|Fantasy,brother brother relationship|brother sister relationship|good versus evil|king|narnia,225000000,2008,6.6,2.35
The Avengers,173,623279547,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,220000000,2012,8.1,1.85
Pirates of the Caribbean: On Stranger Tides,136,241063875,Action|Adventure|Fantasy,blackbeard|captain|pirate|revenge|soldier,250000000,2011,6.7,2.35
Men in Black 3,106,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|criminal|m.i.b.|maximum security prison|prison,225000000,2012,6.8,1.85
The Hobbit: The Battle of the Five Armies,164,255108370,Adventure|Fantasy,army|elf|hobbit|middle earth|orc,250000000,2014,7.5,2.35
The Amazing Spider-Man,153,262030663,Action|Adventure|Fantasy,lizard|outcast|spider|spider man|teenager,230000000,2012,7,2.35
Robin Hood,156,105219735,Action|Adventure|Drama|History,1190s|archer|england|king of england|robin hood,200000000,2010,6.7,2.35
The Hobbit: The Desolation of Smaug,186,258355354,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,225000000,2013,7.9,2.35
The Golden Compass,113,70083519,Adventure|Family|Fantasy,children|epic|friend|girl|quest,180000000,2007,6.1,2.35
King Kong,201,218051260,Action|Adventure|Drama|Romance,animal name in title|ape abducts a woman|gorilla|island|king kong,207000000,2005,7.2,2.35
Titanic,194,658672302,Drama|Romance,artist|love|ship|titanic|wet,200000000,1997,7.7,2.35
Captain America: Civil War,147,407197282,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,250000000,2016,8.2,2.35
Battleship,131,65173160,Action|Adventure|Sci-Fi|Thriller,box office flop|hawaii|naval|oahu hawaii|ship,209000000,2012,5.9,2.35
Jurassic World,124,652177271,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,150000000,2015,7,2
Skyfall,143,304360277,Action|Adventure|Thriller,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,200000000,2012,7.8,2.35
Spider-Man 2,135,373377893,Action|Adventure|Fantasy|Romance,death|doctor|scientist|super villain|tentacle,200000000,2004,7.3,2.35
Iron Man 3,195,408992272,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,200000000,2013,7.2,2.35
Alice in Wonderland,108,334185206,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,200000000,2010,6.5,1.85
X-Men: The Last Stand,104,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,battle|mutant|outrage|walking through a wall|x men,210000000,2006,6.8,2.35
Monsters University,104,268488329,Adventure|Animation|Comedy|Family|Fantasy,cheating|fraternity|monster|singing in a car|university,200000000,2013,7.3,1.85
Transformers: Revenge of the Fallen,150,402076689,Action|Adventure|Sci-Fi,autobot|decepticon|machine|sun|symbol,200000000,2009,6,2.35
Transformers: Age of Extinction,165,245428137,Action|Adventure|Sci-Fi,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,210000000,2014,5.7,2.35
Oz the Great and Powerful,130,234903076,Adventure|Family|Fantasy,circus|magic|magician|oz|witch,215000000,2013,6.4,2.35
The Amazing Spider-Man 2,142,202853933,Action|Adventure|Fantasy|Sci-Fi,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,200000000,2014,6.7,2.35
TRON: Legacy,125,172051787,Action|Adventure|Sci-Fi,arcade|bridge|disappearance|escape|warrior,170000000,2010,6.8,2.35
Cars 2,106,191450875,Adventure|Animation|Comedy|Family|Sport,best friend|car race|conspiracy|gadget car|spy,200000000,2011,6.3,2.35
Green Lantern,123,116593191,Action|Adventure|Sci-Fi,autopsy|lantern|planet|ring|test pilot,200000000,2011,5.6,2.35
Toy Story 3,103,414984497,Adventure|Animation|Comedy|Family|Fantasy,college|day care|escape|teddy bear|toy,200000000,2010,8.3,1.85
Terminator Salvation,118,125320003,Action|Adventure|Sci-Fi,death row|future|machine|rescue|skynet,200000000,2009,6.6,2.35
Furious 7,140,350034110,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,190000000,2015,7.2,2.35
World War Z,123,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,chaos|disease|infection|pandemic|zombie,190000000,2013,7,2.35
X-Men: Days of Future Past,149,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,dystopia|super strength|supernatural power|time paradox|time travel,200000000,2014,8,2.35
Star Trek Into Darkness,132,228756232,Action|Adventure|Sci-Fi,admiral|captain|manhunt|mission|space,190000000,2013,7.8,2.35
Jack the Giant Slayer,114,65171860,Adventure|Fantasy,bean|giant|king|no opening credits|princess,195000000,2013,6.3,2.35
The Great Gatsby,143,144812796,Drama|Romance,ingratitude|mansion|party|title appears in writing|tragedy,105000000,2013,7.3,2.35
Prince of Persia: The Sands of Time,116,90755643,Action|Adventure|Fantasy|Romance,alamut|dagger|king|persia|princess,200000000,2010,6.6,2.35
Pacific Rim,131,101785482,Action|Adventure|Sci-Fi,giant monster|kaiju|pilot|portal|robot,190000000,2013,7,1.85
Transformers: Dark of the Moon,154,352358779,Action|Adventure|Sci-Fi,autobot|decepticon|job interview|moon|spacecraft,195000000,2011,6.3,2.35
Indiana Jones and the Kingdom of the Crystal Skull,122,317011114,Action|Adventure|Fantasy,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,185000000,2008,6.2,2.35
Brave,93,237282182,Adventure|Animation|Comedy|Family|Fantasy,archery|coming of age|female warrior|princess|rebellious daughter,185000000,2012,7.2,2.35
Star Trek Beyond,122,130468626,Action|Adventure|Sci-Fi|Thriller,hatred|sequel|space opera|star trek|third part,185000000,2016,7.5,2.35
WALL·E,98,223806889,Adventure|Animation|Family|Sci-Fi,earth|obesity|plant|robot|soil,180000000,2008,8.4,2.35
Rush Hour 3,91,140080850,Action|Comedy|Crime|Thriller,ambassador|assassination|chinese|french|triad,140000000,2007,6.2,2.35
2012,158,166112167,Action|Adventure|Sci-Fi,ark|catastrophe|geologist|president|writer,200000000,2009,5.8,2.35
A Christmas Carol,96,137850096,Animation|Drama|Family|Fantasy,charles dickens|christmas|christmas eve|ghost|scrooge,200000000,2009,6.8,2.35
Jupiter Ascending,127,47375327,Action|Adventure|Sci-Fi,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,176000000,2015,5.4,2.35
The Legend of Tarzan,110,124051759,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,180000000,2016,6.6,2.35
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",150,291709845,Adventure|Family|Fantasy,hide and seek|lion|magic|professor|snow,180000000,2005,6.9,2.35
X-Men: Apocalypse,144,154985087,Action|Adventure|Sci-Fi,mutant|superhero|superhero team|x men|year 1983,178000000,2016,7.3,2.35
The Dark Knight,152,533316061,Action|Crime|Drama|Thriller,based on comic book|dc comics|psychopath|star died before release|urban setting,185000000,2008,9,2.35
Up,96,292979556,Adventure|Animation|Comedy|Family,balloon|house|promise|retirement|skeleton,175000000,2009,8.3,1.85
Monsters vs. Aliens,94,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|alien invasion|alien space craft|giant|giantess,175000000,2009,6.5,2.35
Iron Man,126,318298180,Action|Adventure|Sci-Fi,afghanistan|billionaire|inventor|playboy|u.s. air force,140000000,2008,7.9,2.35
Hugo,126,73820094,Adventure|Drama|Family|Mystery,automaton|mechanical|railway station|steampunk|train,170000000,2011,7.5,1.85
Wild Wild West,106,113745408,Action|Comedy|Sci-Fi|Western,buddy movie|general|inventor|steampunk|utah,170000000,1999,4.8,1.85
The Mummy: Tomb of the Dragon Emperor,112,102176165,Action|Adventure|Fantasy|Horror|Thriller,army|china|emperor|mummy|shangri la,145000000,2008,5.2,2.35
Suicide Squad,123,161087183,Action|Adventure|Comedy|Sci-Fi,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,175000000,2016,6.9,2.35
Evan Almighty,96,100289690,Comedy|Family|Fantasy,ark|change|congressman|depiction of god|flood,175000000,2007,5.4,2.35
Edge of Tomorrow,113,100189501,Action|Adventure|Sci-Fi,alien|combat|dying repeatedly|end of the world|time loop,178000000,2014,7.9,2.35
Waterworld,176,88246220,Action|Adventure|Sci-Fi|Thriller,future|sail|sea|smoker|water,175000000,1995,6.1,1.85
G.I. Joe: The Rise of Cobra,118,150167630,Action|Adventure|Sci-Fi|Thriller,cobra|gi joe|snake|train|warhead,175000000,2009,5.8,2.35
Inside Out,95,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,anger|joy|memory|running away|sadness,175000000,2015,8.3,1.85
The Jungle Book,106,362645141,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,175000000,2016,7.8,1.85
Iron Man 2,124,312057433,Action|Adventure|Sci-Fi,hammer|military|monaco|revenge|tony stark,200000000,2010,7,2.35
Snow White and the Huntsman,132,155111815,Action|Adventure|Drama|Fantasy,evil queen|fairy tale|magic|queen|snow white,170000000,2012,6.1,2.35
Maleficent,97,241407328,Action|Adventure|Family|Fantasy|Romance,curse|dark fantasy|fairy|king|kingdom,180000000,2014,7,2.35
Dawn of the Planet of the Apes,130,208543795,Action|Adventure|Drama|Sci-Fi,ape|dam|leader|post apocalypse|sequel,170000000,2014,7.6,1.85
47 Ronin,128,38297305,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,175000000,2013,6.3,2.35
Captain America: The Winter Soldier,136,259746958,Action|Adventure|Sci-Fi,conspiracy|heroism|megalomaniac|super soldier|world domination,170000000,2014,7.8,2.35
Shrek Forever After,93,238371987,Adventure|Animation|Comedy|Family|Fantasy,alternate world|fairy tale parody|female warrior|ogre|true love,165000000,2010,6.4,2.35
Tomorrowland,130,93417865,Action|Adventure|Family|Mystery|Sci-Fi,boy genius|futuristic city|inventor|teenage girl|time travel,190000000,2015,6.5,2.2
Big Hero 6,102,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,high tech|martial arts|masked man|robot|superhero,165000000,2014,7.9,2.39
Wreck-It Ralph,101,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,arcade|candy|glitch|king|medal,165000000,2012,7.8,2.35
The Polar Express,100,665426,Adventure|Animation|Family|Fantasy,boy|christmas|christmas eve|north pole|train,165000000,2004,6.6,2.35
Independence Day: Resurgence,120,102315545,Action|Adventure|Sci-Fi,alien|battle|defense|independence day|mothership,165000000,2016,5.5,2.35
How to Train Your Dragon,98,217387997,Adventure|Animation|Family|Fantasy,dragon|island|training|viking|village,165000000,2010,8.2,2.35
Terminator 3: Rise of the Machines,109,150350192,Action|Sci-Fi,drifter|exploding truck|future|machine|skynet,200000000,2003,6.4,2.35
Guardians of the Galaxy,121,333130696,Action|Adventure|Sci-Fi,bounty hunter|outer space|raccoon|talking animal|tree,170000000,2014,8.1,2.35
Interstellar,169,187991439,Adventure|Drama|Sci-Fi,black hole|father daughter relationship|saving the world|space travel|wormhole,165000000,2014,8.6,2.35
Inception,148,292568851,Action|Adventure|Sci-Fi|Thriller,ambiguous ending|corporate espionage|dream|subconscious|thief,160000000,2010,8.8,2.35
The Hobbit: An Unexpected Journey,182,303001229,Adventure|Fantasy,dragon|dwarf|hobbit|orc|wizard,180000000,2012,7.9,2.35
The Fast and the Furious,106,144512310,Action|Crime|Thriller,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,38000000,2001,6.7,2.35
The Curious Case of Benjamin Button,166,127490802,Drama|Fantasy|Romance,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,150000000,2008,7.8,2.35
X-Men: First Class,132,146405371,Action|Adventure|Sci-Fi,cia|cia agent|mutant|nuclear war|professor,160000000,2011,7.8,2.35
The Hunger Games: Mockingjay - Part 2,137,281666058,Adventure|Sci-Fi,death of sister|dystopia|execution|rebellion|revolution,160000000,2015,6.6,2.35
The Sorcerer's Apprentice,109,63143812,Action|Adventure|Family|Fantasy,chosen one|enchanted object|love|spell|training,150000000,2010,6.1,2.35
Poseidon,98,60655503,Action|Adventure|Drama|Thriller,cruise|escape|ocean|passenger|water,160000000,2006,5.6,2.35
Alice Through the Looking Glass,113,76846624,Adventure|Family|Fantasy,clock|dark fantasy|mad hatter|queen|sequel,170000000,2016,6.4,1.85
Shrek the Third,93,320706665,Adventure|Animation|Comedy|Family|Fantasy,disney spoof|fairy tale|prince|princess|tough guy,160000000,2007,6.1,1.85
Warcraft,123,46978995,Action|Adventure|Fantasy,based on video game|fictional language|fictional war|orc|sword and sorcery,160000000,2016,7.3,2.35
Terminator Genisys,126,89732035,Action|Adventure|Sci-Fi,alternate timeline|cyborg|future|robot|time machine,155000000,2015,6.6,2.35
The Chronicles of Narnia: The Voyage of the Dawn Treader,113,104383624,Adventure|Family|Fantasy,dragon|king|mouse|quest|warrior,155000000,2010,6.3,1.78
Pearl Harbor,184,198539855,Action|Drama|History|Romance|War,air raid|black smoke|japanese military|japanese navy|sunday,140000000,2001,6.1,2.35
Transformers,144,318759914,Action|Adventure|Sci-Fi,alien contact|autobot|decepticon|robot vs. robot|teenage hero,150000000,2007,7.1,2.35
